Format,1.0B,
Memory Length,10000,
IntpDistance,0,
Trigger Address,4999,
Trigger Level,5.200E+00,
Source,CH1,
Vertical Units,V,
Vertical Units Div,0,
Vertical Units Extend Div,16,
Label, ,
Probe Type,0,
Probe Ratio,1.000E+00,
Vertical Scale,2.000E-01,
Vertical Position,-2.856E+00,
Horizontal Units,S,
Horizontal Scale,1.000E-05,
Horizontal Position,0.000E+00,
Horizontal Mode,Main,
SincET Mode,Real Time,
Sampling Period,1.000E-08,
Horizontal Old Scale,1.000E-05,
Horizontal Old Position,0.000E+00,
Firmware,V1.29,
Mode,Detail,
Waveform Data,
-5.000000e-05,3.26e+00,
-4.999000e-05,3.26e+00,
-4.998000e-05,3.26e+00,
-4.997000e-05,3.26e+00,
-4.996000e-05,3.26e+00,
-4.995000e-05,3.26e+00,
-4.994000e-05,3.26e+00,
-4.993000e-05,3.26e+00,
-4.992000e-05,3.26e+00,
-4.991000e-05,3.26e+00,
-4.990000e-05,3.26e+00,
-4.989000e-05,3.26e+00,
-4.988000e-05,3.26e+00,
-4.987000e-05,3.26e+00,
-4.986000e-05,3.26e+00,
-4.985000e-05,3.26e+00,
-4.984000e-05,3.26e+00,
-4.983000e-05,3.26e+00,
-4.982000e-05,3.26e+00,
-4.981000e-05,3.26e+00,
-4.980000e-05,3.26e+00,
-4.979000e-05,3.26e+00,
-4.978000e-05,3.26e+00,
-4.977000e-05,3.26e+00,
-4.976000e-05,3.26e+00,
-4.975000e-05,3.26e+00,
-4.974000e-05,3.26e+00,
-4.973000e-05,3.26e+00,
-4.972000e-05,3.26e+00,
-4.971000e-05,3.26e+00,
-4.970000e-05,3.26e+00,
-4.969000e-05,3.26e+00,
-4.968000e-05,3.26e+00,
-4.967000e-05,3.26e+00,
-4.966000e-05,3.26e+00,
-4.965000e-05,3.26e+00,
-4.964000e-05,3.26e+00,
-4.963000e-05,3.26e+00,
-4.962000e-05,3.26e+00,
-4.961000e-05,3.26e+00,
-4.960000e-05,3.26e+00,
-4.959000e-05,3.26e+00,
-4.958000e-05,3.26e+00,
-4.957000e-05,3.26e+00,
-4.956000e-05,3.26e+00,
-4.955000e-05,3.26e+00,
-4.954000e-05,3.26e+00,
-4.953000e-05,3.26e+00,
-4.952000e-05,3.26e+00,
-4.951000e-05,3.26e+00,
-4.950000e-05,3.26e+00,
-4.949000e-05,3.26e+00,
-4.948000e-05,3.26e+00,
-4.947000e-05,3.26e+00,
-4.946000e-05,3.26e+00,
-4.945000e-05,3.26e+00,
-4.944000e-05,3.26e+00,
-4.943000e-05,3.26e+00,
-4.942000e-05,3.26e+00,
-4.941000e-05,3.26e+00,
-4.940000e-05,3.26e+00,
-4.939000e-05,3.26e+00,
-4.938000e-05,3.26e+00,
-4.937000e-05,3.26e+00,
-4.936000e-05,3.26e+00,
-4.935000e-05,3.26e+00,
-4.934000e-05,3.26e+00,
-4.933000e-05,3.26e+00,
-4.932000e-05,3.26e+00,
-4.931000e-05,3.26e+00,
-4.930000e-05,3.26e+00,
-4.929000e-05,3.26e+00,
-4.928000e-05,3.26e+00,
-4.927000e-05,3.26e+00,
-4.926000e-05,3.26e+00,
-4.925000e-05,3.26e+00,
-4.924000e-05,3.26e+00,
-4.923000e-05,3.26e+00,
-4.922000e-05,3.26e+00,
-4.921000e-05,3.26e+00,
-4.920000e-05,3.26e+00,
-4.919000e-05,3.26e+00,
-4.918000e-05,3.26e+00,
-4.917000e-05,3.26e+00,
-4.916000e-05,3.26e+00,
-4.915000e-05,3.26e+00,
-4.914000e-05,3.26e+00,
-4.913000e-05,3.26e+00,
-4.912000e-05,3.26e+00,
-4.911000e-05,3.26e+00,
-4.910000e-05,3.26e+00,
-4.909000e-05,3.26e+00,
-4.908000e-05,3.26e+00,
-4.907000e-05,3.26e+00,
-4.906000e-05,3.26e+00,
-4.905000e-05,3.26e+00,
-4.904000e-05,3.26e+00,
-4.903000e-05,3.26e+00,
-4.902000e-05,3.26e+00,
-4.901000e-05,3.26e+00,
-4.900000e-05,3.26e+00,
-4.899000e-05,3.26e+00,
-4.898000e-05,3.26e+00,
-4.897000e-05,3.26e+00,
-4.896000e-05,3.26e+00,
-4.895000e-05,3.26e+00,
-4.894000e-05,3.26e+00,
-4.893000e-05,3.26e+00,
-4.892000e-05,3.26e+00,
-4.891000e-05,3.26e+00,
-4.890000e-05,3.26e+00,
-4.889000e-05,3.26e+00,
-4.888000e-05,3.26e+00,
-4.887000e-05,3.26e+00,
-4.886000e-05,3.26e+00,
-4.885000e-05,3.26e+00,
-4.884000e-05,3.26e+00,
-4.883000e-05,3.26e+00,
-4.882000e-05,3.26e+00,
-4.881000e-05,3.26e+00,
-4.880000e-05,3.26e+00,
-4.879000e-05,3.26e+00,
-4.878000e-05,3.26e+00,
-4.877000e-05,3.26e+00,
-4.876000e-05,3.26e+00,
-4.875000e-05,3.26e+00,
-4.874000e-05,3.26e+00,
-4.873000e-05,3.26e+00,
-4.872000e-05,3.26e+00,
-4.871000e-05,3.26e+00,
-4.870000e-05,3.26e+00,
-4.869000e-05,3.26e+00,
-4.868000e-05,3.26e+00,
-4.867000e-05,3.26e+00,
-4.866000e-05,3.26e+00,
-4.865000e-05,3.26e+00,
-4.864000e-05,3.26e+00,
-4.863000e-05,3.26e+00,
-4.862000e-05,3.26e+00,
-4.861000e-05,3.26e+00,
-4.860000e-05,3.26e+00,
-4.859000e-05,3.26e+00,
-4.858000e-05,3.26e+00,
-4.857000e-05,3.26e+00,
-4.856000e-05,3.26e+00,
-4.855000e-05,3.26e+00,
-4.854000e-05,3.26e+00,
-4.853000e-05,3.26e+00,
-4.852000e-05,3.26e+00,
-4.851000e-05,3.26e+00,
-4.850000e-05,3.26e+00,
-4.849000e-05,3.26e+00,
-4.848000e-05,3.26e+00,
-4.847000e-05,3.26e+00,
-4.846000e-05,3.26e+00,
-4.845000e-05,3.26e+00,
-4.844000e-05,3.26e+00,
-4.843000e-05,3.26e+00,
-4.842000e-05,3.26e+00,
-4.841000e-05,3.26e+00,
-4.840000e-05,3.26e+00,
-4.839000e-05,3.26e+00,
-4.838000e-05,3.26e+00,
-4.837000e-05,3.26e+00,
-4.836000e-05,3.26e+00,
-4.835000e-05,3.26e+00,
-4.834000e-05,3.26e+00,
-4.833000e-05,3.26e+00,
-4.832000e-05,3.26e+00,
-4.831000e-05,3.26e+00,
-4.830000e-05,3.26e+00,
-4.829000e-05,3.26e+00,
-4.828000e-05,3.26e+00,
-4.827000e-05,3.26e+00,
-4.826000e-05,3.26e+00,
-4.825000e-05,3.26e+00,
-4.824000e-05,3.26e+00,
-4.823000e-05,3.26e+00,
-4.822000e-05,3.26e+00,
-4.821000e-05,3.26e+00,
-4.820000e-05,3.26e+00,
-4.819000e-05,3.26e+00,
-4.818000e-05,3.26e+00,
-4.817000e-05,3.26e+00,
-4.816000e-05,3.26e+00,
-4.815000e-05,3.26e+00,
-4.814000e-05,3.26e+00,
-4.813000e-05,3.26e+00,
-4.812000e-05,3.26e+00,
-4.811000e-05,3.26e+00,
-4.810000e-05,3.26e+00,
-4.809000e-05,3.26e+00,
-4.808000e-05,3.26e+00,
-4.807000e-05,3.26e+00,
-4.806000e-05,3.26e+00,
-4.805000e-05,3.26e+00,
-4.804000e-05,3.26e+00,
-4.803000e-05,3.26e+00,
-4.802000e-05,3.26e+00,
-4.801000e-05,3.26e+00,
-4.800000e-05,3.26e+00,
-4.799000e-05,3.26e+00,
-4.798000e-05,3.26e+00,
-4.797000e-05,3.26e+00,
-4.796000e-05,3.26e+00,
-4.795000e-05,3.26e+00,
-4.794000e-05,3.26e+00,
-4.793000e-05,3.26e+00,
-4.792000e-05,3.26e+00,
-4.791000e-05,3.26e+00,
-4.790000e-05,3.26e+00,
